gameId,onBlueTeam,blueWins,blueWardsPlaced,blueWardKills,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsterKills,blueDragonKills,blueHeraldKills,blueTowerKills,blueTotalGold,blueAvgLvl,blueTotalExp,blueTotalMinionsKilled,blueGoldDiff,blueExpDiff,onRedTeam,redWins,redWardsPlaced,redWardKills,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsterKills,redDragonKills,redHeraldKills,redTowerKills,redTotalGold,redAvgLvl,redTotalExp,redTotalMinionsKilled,redGoldDiff,redExpDiff
3507437023,0,1,17,4,1,19,8,19,3,2,1,1,29097,9.4,30228,325,6685,3976,1,0,21,1,0,8,19,7,0,0,0,0,22412,8.6,26252,270,-6685,-3976
3507422179,0,0,20,2,1,10,13,10,1,1,0,1,24367,8.8,28666,323,-1971,-1898,1,1,16,4,0,13,10,18,2,1,1,0,26338,9.4,30564,324,1971,1898
3507386815,1,1,20,2,0,21,7,24,1,1,0,3,29636,9.6,30151,288,7248,4654,0,0,17,2,1,7,21,3,0,0,0,0,22388,8.6,25497,304,-7248,-4654
3507309611,0,0,19,3,0,11,16,7,0,0,0,1,24980,8.8,27902,299,-1116,-2422,1,1,18,6,1,16,11,13,2,2,0,0,26096,9.4,30324,260,1116,2422
3507294356,1,1,20,3,1,19,4,21,2,2,0,2,29046,9.4,30538,306,8125,5237,0,0,20,3,0,4,19,2,0,0,0,0,20921,8.4,25301,284,-8125,-5237
3507245389,0,0,21,4,1,12,15,17,0,0,0,1,25701,8.6,26931,288,141,-2239,1,1,22,2,0,15,12,14,2,2,0,0,25560,9.0,29170,281,-141,2239
3507050645,0,1,22,2,1,6,3,6,3,2,1,2,25216,8.8,26976,325,5250,2261,1,0,19,3,0,3,6,3,0,0,0,1,19966,8.2,24715,252,-5250,-2261
3506995311,1,0,26,2,0,4,7,6,1,1,0,0,21848,9.2,29511,319,-2617,-1443,0,1,12,6,1,7,4,5,2,1,1,1,24465,9.4,30954,320,2617,1443
3506991244,1,0,25,6,0,9,12,12,1,1,0,0,22911,8.8,25174,259,-3479,-5627,0,1,21,4,1,12,9,13,2,1,1,0,26390,9.4,30801,349,3479,5627
3506927519,1,1,21,2,1,23,1,27,3,2,1,3,31951,9.8,32186,334,15016,10125,0,0,15,4,0,1,23,2,0,0,0,0,16935,7.8,22061,213,-15016,-10125
3506894752,1,0,21,4,0,11,25,8,0,0,0,0,23620,8.6,26784,230,-8614,-4624,0,1,20,1,1,25,11,28,2,1,1,2,32234,9.4,31408,310,8614,4624
3506870121,1,0,26,2,0,7,13,7,0,0,0,0,22114,8.4,25868,262,-3844,-4473,0,1,14,5,1,13,7,13,2,2,0,0,25958,9.4,30341,302,3844,4473
3501591985,0,0,18,3,0,6,16,3,2,1,1,0,20811,8.6,26240,232,-4409,-3552,1,1,16,2,1,16,6,14,1,1,0,0,25220,9.2,29792,241,4409,3552
3501527441,0,0,29,6,1,14,12,14,1,0,1,0,24841,9.0,27771,249,-448,-824,1,1,19,5,0,12,14,7,1,1,0,0,25289,9.0,28595,309,448,824
3501511871,0,1,26,4,1,13,15,12,0,0,0,1,26032,8.8,26973,292,486,-798,1,0,24,5,0,15,13,14,3,2,1,0,25546,9.2,27771,243,-486,798
3497913180,1,0,11,3,0,7,11,4,0,0,0,1,23065,8.6,26509,298,-5181,-3925,0,1,19,4,1,11,7,9,3,2,1,3,28246,9.4,30434,382,5181,3925
3497929962,1,1,21,9,1,13,0,12,2,2,0,1,26822,9.2,28484,329,7848,3019,0,0,29,4,0,0,13,0,1,0,1,0,18974,8.6,25465,285,-7848,-3019
3497866572,0,1,17,5,1,9,4,3,1,1,0,0,25183,9.4,30376,351,4635,3199,1,0,19,4,0,4,9,4,1,1,0,0,20548,8.8,27177,284,-4635,-3199
3497880612,1,0,16,1,0,6,11,6,0,0,0,0,21224,8.4,25330,258,-4788,-3548,0,1,17,6,1,11,6,10,2,2,0,1,26012,9.4,28878,264,4788,3548
3497824855,0,0,16,3,1,7,10,2,0,0,0,1,23465,9.0,28515,324,-2426,-2082,1,1,24,2,0,10,7,17,2,1,1,2,25891,9.4,30597,347,2426,2082
3497821359,1,0,16,6,0,12,14,18,1,1,0,0,25593,8.8,27049,273,-515,1140,0,1,26,3,1,14,12,13,2,1,1,1,26108,8.6,25909,240,515,-1140
